id,date,process,pending,approved
1063,08-07-2025,"GoQii-Inbound	",0,2
1064,08-07-2025,GoQii-Outbound,0,2
1065,08-07-2025,"HDFC PERSISTENCY",0,16
1066,08-07-2025,"I-Pru Mumbai ",0,38
1067,08-07-2025,"IDFC Cross Sale",0,168
1068,08-07-2025,"IDFC Digi Sales",0,12
1069,08-07-2025,Jio-Insure,0,12
1070,08-07-2025,"L&T SME",0,9
1071,08-07-2025,"L&T Services-Mumbai",0,24
1072,08-07-2025,MGL,0,23
1073,08-07-2025,"Nayara Mumbai",0,7
1074,08-07-2025,"Reliance Nippon",0,53
1076,08-07-2025,"Yes Bank",0,64
1188,08-07-2025,"MMT FILLER",0,12
1189,08-07-2025,"MMT Flight",0,27
1209,07-07-2025,ZET,0,17
1210,08-07-2025,Mpokket,0,150
1212,08-07-2025,ZET,0,17
1213,07-07-2025,"Poshan Helpline-Hyd",0,1
1215,08-07-2025,"Poshan Helpline-Hyd",0,1
1217,07-07-2025,EDCIL,0,3
1218,07-07-2025,NHDC,0,1
1219,07-07-2025,"Poshan Helpline",0,31
1222,08-07-2025,EDCIL,0,3
1223,08-07-2025,MEITY,0,1
1224,08-07-2025,"Poshan Helpline",0,33
1228,07-07-2025,VD2H-HYD,0,18
1230,08-07-2025,VD2H-HYD,0,17
1249,05-07-2025,"GO NOISE",0,51
1251,06-07-2025,"GO NOISE",0,18
1255,07-07-2025,"GO NOISE",0,47
1259,08-07-2025,"GO NOISE",0,48
1281,05-07-2025,"CESC Kolkata",0,15
1282,06-07-2025,"CESC Kolkata",0,12
1283,07-07-2025,"CESC Kolkata",0,12
1284,08-07-2025,"CESC Kolkata",0,11
1294,05-07-2025,"VD2H IB-Chennai",0,41
1296,06-07-2025,"VD2H IB-Chennai",0,35
1298,07-07-2025,"VD2H IB-Chennai",0,36
1300,08-07-2025,"VD2H IB-Chennai",0,36
1381,07-07-2025,"Dish TV-IB",0,7
1382,07-07-2025,UNICEF,0,13
1384,07-07-2025,VIDEOCON,0,4
1386,08-07-2025,"Dish TV-IB",0,7
1387,08-07-2025,UNICEF,0,13
1389,08-07-2025,VIDEOCON,0,4
1390,07-07-2025,"DISH IB-HYD",0,20
1392,08-07-2025,"DISH IB-HYD",0,1
1394,07-07-2025,GS-1,0,8
1396,08-07-2025,GS-1,0,8
1398,07-07-2025,"Aakash Institue",0,31
1399,07-07-2025,"Bajaj Allianz-Noida",0,49
1401,08-07-2025,"Aakash Institue",0,31
1402,08-07-2025,"Bajaj Allianz-Noida",0,52
1411,01-07-2025,TANGEDCO,0,77
1413,02-07-2025,TANGEDCO,0,85
1415,03-07-2025,TANGEDCO,0,89
1417,04-07-2025,TANGEDCO,0,76
1419,05-07-2025,TANGEDCO,0,85
